text,amount,category,payment_method,payment_provider,bank_account,text_source
gas bill bill 2145 done via phonepe,None,utilities,upi,phonepe,,english
Cash on delivery for Lenskart order 22012,22012,shopping,cash,,,ocr_receipt
Transferred 49815 to my Angel One from State Bank.,49815,investment,unknown,,sbi,english
Charged 26319 to Croma from PNB account using PayTM,"26,319.00",retail,upi,gpay,pnb,english
  SonyLIV recharge 217 PayTM ,217,entertainment,upi,paytm,,ocr_upi
Spent 113.14 on food from restaurant with cash,113.14,food,cash,,,english
Monthly Spotify subscription 641 by Fi,641,entertainment,upi,fi,fi,english
Paytm se water bill ko 670 transfer kiya,670,utilities,upi,paytm,,hinglish
Monthly Angel One auto-debit of 8481 via Slice.,8481,investment,upi,slice,slice,english
"15342.19 udhar diya stationery ke liye, baad me le lena",15342.19,education,unknown,,,hinglish
Air India se 12117 ka recharge karaya.,12117,travel,unknown,,,english
maine Nykaa pe 1011 spend kiye Fi ke through,1011,shopping,upi,fi,Fi,voice
   niyo se Spotify ko 2531.84 ka payment   ,2531.84,entertainment,upi,niyo,niyo,ocr_upi
lab test consultation fee 5265 cash pe.,5265,None,CASH,,,english
--,726,utilities,upi,bhim,indusind,ocr_receipt
Educational material 30503 from tuition via Slice,"30,503.00",education,upi,nan,Slice,ocr_receipt
Charged 23464 to H&M from account using Niyo,23464,shopping,upi,niyo,niyo,english
phonepe se Rahul ko transfer 6097 for movie tickets,6097,friends,upi,phonepe,,voice
bike loan EMI payment of 27928.88 done with Visa,27928.88,emi,card,,,english
recurring deposit mein 23625 add kiya Jupiter se,23625,investment,upi,null,jupiter,hinglish
aaj water bill pay kiya 3460 from Federal Bank,3460,utilities,unknown,,federal bank,voice
Paid 24611 for this month's car loan EMI via gpay,24611,loans,upi,gpay,,english
619 rs JioMart ko diya phonepe se,619,None,upi,phonepe,,voice
wifi bill bill settled via PayTM 2681,-2681,None,upi,paytm,fi,ocr_receipt
"7441.92 Uber ko diya for booking, paid via Fi Money",7441.92,travel,upi,fi,fi,hinglish
,2337,entertainment,unknown,,,hinglish
Hotstar recharge for 906.44 via Mastercard,906.44,entertainment,card,,,ocr_receipt
Monthly bike loan EMI of 4407.83 paid via BHIM,4407.83,emi,upi,bhim,,hinglish
"Quick bite from dhaba, cost 1929, used jupiter",1929,food,upi,jupiter,Jupiter,hinglish
3882.12 transferred for water bill using Mastercard,3882.12,utilities,card,,,ocr_receipt
Ananya se 2927 wapas liya cash mein,2927,friends,cash,,,hinglish
  2458 to electricity bill via cash ,2458,utilities,Cash,,,english
   doctor checkup fee 1021 ICICI   ,1021,NA,unknown,,icici,ocr_receipt
cash used for books 10921.92,10921.92,education,cash,,,english
"dhaba meal, paid 689 via Fi Money",689,restuarant,upi,fi,Fi Money,ocr_upi
"Priya paid me back 2356.25 for the concert, got it in SBI via PhonePe",2356.25,friends,upi,phonepe,State Bank,english
Medical supplies from hospital 17584.15 via phonepe.,17584.15,healthcare,upi,phonepe,,english
Groww ki installment 35624 Axis card se pay ki,35624,mutual fund,card,,axis,hinglish
Paid back 2168.46 to Arjun for the movie tickets using BHIM,,friends,upi,bhim,,english
mall 23729 done through cred,None,shopping,upi,cred,,english
29232.22 for this month's EMI from Union Bank,29232.22,,unknown,,Union Bank,voice
dentist pe 13665 udhar diye cash se,13665,medical,cash,,,hinglish
aaj stocks ka 24456 debit hua Fi Money se,24456,investment,upi,fi,fi,voice
,5000,utilities,upi,gpay,,hinglish
Auto debit for installment of 23673 from Union Bank,23673,installment,card,,Union Bank,english
24277 paid for lab tests at MedPlus using Union Bank card.,24277,healthcare,card,,union bank,english
"Split the hotel cost with sister, my part 9775.42 Google Pay",9775.42,friends,Upi,gpay,,english
Chipped in 8347 for sister's gift via card,8347,friends,card,,,english
school fees subscription renew kiya 50397 ka,50397,education,unknown,,,hinglish
roommate ke liye 9811.75 ka bill cash se clear kiya.,9811.75,friends,cash,,,ocr_upi
Sneha ko 7420 bheje gpay se.,7420,friends,upi,gpay,,ocr_upi
Paid Allen coaching fees 26541 via Visa,26541,education,card,,,english
"Coffee on me, Karan ko 3507.50 pay kiya",3507.50,friends,unknown,,,hinglish
Payment of 12537 to HP petrol successful on cash,12537,travel,cash,,,ocr_upi
Lunch at BigBasket 422.15 GPay,422.15,restuarant,upi,gpay,,ocr_receipt
Jio recharge bill 1839 done via jupiter,1839,utilities,upi,jupiter,Jupiter,english
1568.67 to rent via slice,1568.67,utilities,upi,slice,Slice,english
main MakeMyTrip ko 10729 pay kiya debit card ke through,10729,commute,card,,,voice
Booked course course for 37682 through cash.,37682,education,cash,,,ocr_upi
INOX ke live concert ke liye 131.05 pay kiye card se,131.05,entertainment,card,,,hinglish
Recharged Hotstar for 122.06 on cash,122.06,entertainment,cash,,,english
rent recharge of 1866.36 with paytm,1866.36,utilities,upi,paytm,,english
stocks auto debit of 23665.82 successful on cred,23665.82,investment,upi,cred,,ocr_upi
Netflix ke liye 2767 ka payment BHIM se kiya,2767,entertainment,upi,NA,,english
"Quick bite from Starbucks, cost 1411, used slice",1411,food,upi,slice,Slice,hinglish
"Coffee on me, Rahul ko 4151.80 pay kiya",nan,p2p,unknown,,,hinglish
SpiceJet ka bill 7149 jupiter se,7149,travel,upi,jupiter,Jupiter,ocr_receipt
MakeMyTrip ki cab ke 12628 cash se transfer kar diye,12628,travel,cash,,,hinglish
Quick bite Blinkit 890 Niyo,890,food,upi,niyo,Niyo,ocr_receipt
Food expense at food court 201 by cash,nan,Food,cash,,,english
  31639.79 added to Angel One from PNB   ,31639.79,Investment,unknown,,pnb,ocr_receipt
"Bhai, kal Behrouz pe 2434 kharcha hua GPay pe",2434,food,upi,gpay,,hinglish
recurring deposit investment of 15874 done via bhim,15874,investment,upi,bhim,,voice
16243.14 spent on school fees using bhim,16243.14,education,upi,bhim,,english
fees ka payment 24719 Fi Money se kar diya,24719,education,upi,fi,Fi,voice
"51670 udhar diya stationery ke liye, baad me le lena",51670,education,unknown,,,hinglish
Bus ticket on auto for 12788.,12788,travel,unknown,,,english
merchant se khana mangaya 1157 ka IndusInd card se payment,1157,food,card,,indusind,voice
broadband ka bill pay kiya 2197.64 cred se,2197.64,utilities,upi,cred,,hinglish
card se Ananya ko 1556.03 transfer.,1556.03,friends,CARD,,,ocr_upi
   1937.88 for Airtel recharge using niyo card  ,1937.88,utilities,upi,niyo,niyo,english
bike loan EMI ka installment 22635 clear kardia credit card pe,22635,emi,upi,cred,,hinglish
sister ke liye coffee 2949.91 pay jupiter se,2949.91,friends,upi,jupiter,Jupiter,voice
SpiceJet ki app se 9102 ka ticket liya jupiter se,9102,commute,upi,jupiter,jupiter,hinglish
Airtel recharge ka bill 4920.90 Phone Pe se diya,4920.90,utilities,upi,phonepe,,hinglish
car loan EMI ka 39384 Jupiter se diya,39384,emi,upi,jupiter,jupiter,hinglish
null,1898,travel,upi,cred,,english
INOX 597.26 card SBI,597.26,OTT,card,,sbi,ocr_upi
Paid 1376 for rent through bhim,1376,utilities,UPI,null,,english
apne Bandhan account se dentist ko 2210 transfer kiya,2210,healthcare,unknown,,bandhan,voice
recurring deposit account mein 42544 daale from,42544,invstment,unknown,,,hinglish
SpiceJet ki booking karne pe 14745 lag gaye Slice se,14745,cab,upi,slice,slice,hinglish
null,16210,healthcare,cash,,,ocr_upi
34892.14 gone for credit card EMI,34892.14,emi,upi,cred,,english
flatmate ko de diya 8162 rent ka hissa phonepe se,8162,friends,upi,phonepe,,voice
"Ugh, gas bill ka bill aagaya tha, 3370 de diye phonepe pe",3370,utilities,upi,phonepe,,hinglish
Fees 5332 to upGrad by Indusind Bank card,5332,tution,card,,indusind,ocr_receipt
"Paid credit card EMI, amount 17070 via Mastercard",17070,loan,upi,cred,,ocr_upi
diagnostic center pe 162.57 ka payment Canara card se,162.57,healthcare,card,,canara,hinglish
tuition ka payment 54399 phonepe se kar diya,54399,education,upi,None,,voice
Angel One ke liye 31306 ka payment jupiter se kiya.,31306,investment,upi,jupiter,jupiter,english
573.86 spent on Apple Music subscription Fi,573.86,entertainment,upi,fi,fi,ocr_receipt
mobile recharge bill settled via cash 470,470,utilities,cash,,,ocr_receipt
niyo se home loan EMI ka 1902 bheja,1902,emi,upi,niyo,Niyo,english
NPS mein 40986 ka order Google Pay se,40986,investment,upi,gpay,,voice
  Had to pay eye clinic 810 using slice from ICICI.   ,810,healthcare,upi,slice,icici,english
1401 paid to mess by Visa,1401,food,card,,,ocr_receipt
Goibibo ticket 14379.54 pay kiya through Visa from Canara,14379.54,Transport,Card,,canara,voice
"Just cleared my mobile recharge, 3086.39 paid on slice",3086.39,utilities,upi,slice,Slice,english
Order from dhaba of 994 using BHIM,994,foods,upi,bhim,,ocr_upi
Ordered biryani from KFC 916.52 paid by Fi,916.52,grocery,upi,fi,Fi,english
   Fees ka 27651 pay kardiya  ,27651,school,unknown,,,hinglish
bhai movie ticket ke liye 1830.42 cash se book kiya concert pe,1830.42,Entertainment,cash,,,hinglish
   bhai JioCinema ka bill 2169 de diya BHIM pe  ,2169,entertainment,upi,null,,voice
Paid 21513 for a Nykaa delivery,21513,nan,unknown,,,english
bhai ko fees ke liye 604.36 diya cash se,604.36,Education,cash,,,voice
"Reliance Digital pe 21467 spend kare, Slice ke saath",21467,shopping,upi,slice,slice,hinglish
"   Sneha ne 9011 maanga tha, de diya cash   ",9011,friends,cash,,,ocr_receipt
Charged 25689.26 to Flipkart from Federal Bank account using cash,25689.26,shopping,cash,,federal bank,english
SpiceJet ke liye 10857.19 ka payment BHIM se kiya.,10857.19,travel,upi,bhim,,english
"Just cleared my Airtel recharge, 2104.19 paid on PayTM",2104.19,utilities,UPI,paytm,,english
gpay used for upGrad 18548,18548,education,upi,gpay,,english
null,4487,utilities,card,,,english
bhai ne manga liya mall se 17194.01 card kiya,17194.01,purchase,card,,,voice
   aaj gold ka SIP 9740.69 pay kiya niyo se  ,9740.69,invest,upi,niyo,Niyo,voice
Just paid 10991 at Zara,10991,purchase,unknown,,,english
doctor ko checkup ke 22622 cash diye,22622,healthcare,cash,,,hinglish
   stationery course ki fees 30826 transfer ki PNB se   ,30826,education,unknown,,pnb,hinglish
mutual fund SIP ka payment 30348 de diya cash se,30348,invest,cash,,,hinglish
FirstCry - 25663 debited by cash,25663,shopping,Upi,fi,Fi,ocr_upi
Quick bite at McDonald's 507 with Bank of Baroda bhim,507,food,upi,bhim,Bank of Baroda,english
credit card EMI ke liye 5048 ka payment kardia debit card pe,5048,emi,upi,cred,,hinglish
"9665.42 IndiGo ko diya for booking, paid via Paytm",9665.42,travel,upi,paytm,,hinglish
Sent 17175 for car loan EMI to Yes Bank via credit card,17175,installment,upi,cred,yes bank,english
Payment to FirstCry for 17503.27 via niyo from,17503.27,shopping,upi,fi,Niyo,english
PVR ka 2712.73 slice se cut gaya yaar,2712.73,leisure,upi,slice,Slice,hinglish
cash se Udemy ko 29969.16,29969.16,education,cash,,,english
Deducted 33098.33 for home loan EMI from Kotak account,33098.33,emi,unknown,,kotak,english
671 sent to sister for weekend plan expenses using cash,671,friends,cash,,,english
Monthly installment 16732 paid by credit card,16732,emi,upi,cred,,english
Booked school fees course for 51183 through bhim.,51183,education,upi,bhim,,ocr_upi
Quick bite KFC 2142 niyo,2142,food,upi,niyo,niyo,ocr_receipt
Just paid 33151 for my education loan EMI,33151,emi,unknown,,,english
recurring deposit ke liye 9752.42 ka kharcha GPay se,9752.42,nan,upi,gpay,,voice
  course ka payment 23286 CRED se kar diya  ,23286,education,upi,cred,,voice
Just paid 9192 for my personal loan EMI,9192,loan,unknown,,,english
RedBus ke liye 11183.99 PhonePe se diya,,travell,upi,phonepe,,hinglish
Angel One SIP auto-debit 39123.86 ho gaya,39123.86,invest,card,,,hinglish
Lunch at Box8 1810 cash,1810,food,cash,,,ocr_receipt
Paid 1524 to JioCinema via Paytm,1524,entertainment,upi,paytm,,ocr_upi
4023.89 paid via Mastercard for Neha.,4023.89,friends,card,,,ocr_upi
Niyo se upGrad ko 1017.52,1017.52,education,upi,niyo,niyo,english
43813.57 transferred to FD from Bank of Baroda account,43813.57,savings,UNKNOWN,,bob,ocr_upi
Jio recharge ke liye 4349 ka payment kiya niyo se,4349,utilities,upi,niyo,niyo,hinglish
Recharged dentist app with 10962 via cash.,10962,healthcare,cash,,,english
Udemy subscription renew 54771 Jupiter,54771,education,upi,jupiter,jupiter,voice
canteen 801.93 rupees cash,801.93,food,Cash,,,ocr_receipt
Bought stuff from H&M for 25541 using PayTM,25541,shopping,upi,--,,english
paid 18769 for NPS via cash,18769,utilities,cash,,,voice
Monthly installment 36624.18 paid by PayTM,36624.18,emi,upi,paytm,,english
index fund purchase of 11431.04 using cred,11431.04,investment,upi,cred,,ocr_upi
  Nykaa 5735 paid with Phone Pe from Bank of Baroda ,5735,retail,upi,nan,BOB,voice
crypto investment of 43965 done via BHIM,43965,savings,upi,bhim,,voice
doctor ka bill 23156 jupiter kiya,23156,healthcar,upi,jupiter,Jupiter,hinglish
Apollo Pharmacy charges 17451 from IDFC card,17451,healthcar,card,,idfc,ocr_receipt
Recurring payment to NPS for 16854 via Slice,16854,investment,upi,gpay,slice,ocr_upi
"234.00 udd gaya Biryani Blues pe khane mein, cash diya",null,food,cash,,,hinglish
main 5281 pharmacy mein de aaya cash,5281,pharmacy,cash,,,voice
exam fee material 49622.89 through jupiter,49622.89,education,upi,NA,jupiter,english
Rahul se 7381.04 wapas liya cash mein,7381.04,friends,cash,,,hinglish
Invested 44255 in Angel One via Google Pay,44255,investment,upi,gpay,,ocr_upi
"For Ananya's treat, paid 2216 by PhonePe from State Bank",,friends,upi,phonepe,SBI,english
Order from Blinkit of 456.75 using card,456.75,Food,card,,,ocr_upi
personal loan EMI EMI 36163 deducted via credit card,36163,emi,upi,cred,,voice
"Lunch at cafe for 1064.37, paid by debit card",1064.37,foods,card,,,hinglish
Indian Oil journey cost 8967 paid by Slice,8967,travel,upi,slice,slice,ocr_upi
Pizza Hut UPI payment 73.25 from Bandhan,73.25,food,unknown,,Bandhan,ocr_upi
gold ke liye 25459 ka kharcha jupiter se kiya,25459,investment,upi,jupiter,jupiter,hinglish
Spent 2952.14 on JioCinema with BHIM,2952.14,entertainment,upi,nan,,ocr_upi
Arjun ke liye lunch 4602.97 cash se,4602.97,friends,cash,,,ocr_receipt
Payment of 6311 to Yatra successful on cash,6311,travel,cash,,,ocr_upi
Allen coaching 48628 paid by cash,48628,education,cash,,,ocr_receipt
Monthly installment 12743 paid by bhim,12743,emi,upi,bhim,,english
bhai movie ticket ke liye 1018 debit card se book kiya JioCinema pe,1018,entertainment,card,,,hinglish
aaj broadband pay kiya 768 from Jupiter,768,utilities,upi,jupiter,Jupiter,voice
EMI ka installment 36444 clear kardia cash pe,36444,emi,cash,,,hinglish
maine H&M pe 14120 spend kiye Mastercard ke through,14120,retail,card,,,voice
gold SIP auto-debit 7558 ho gaya,7558,investment,card,,,hinglish
13864 spent on Yatra through Union Bank card.,13864,travel,card,,union bank,english
water bill ke paise 1587 kat gaye from YES BANK,1587,utilities,unknown,,Yes Bank,hinglish
"friend ko 7003 udhaar liya yaar, kal return karunga",7003,friends,unknown,,,hinglish
   crypto purchase of 36187.11 via Mastercard  ,--,invstment,card,,,ocr_receipt
gold investment of 28308 by debit card,28308,Investment,card,,,ocr_receipt
JioCinema ke liye 1093 ka payment cash se kiya,1093,entertainment,cash,,,hinglish
electricity bill ke liye 3351 paytm kara,3351,recharge,upi,null,,voice
flatmate ki shaadi ka gift 9258 Visa se bheja,9258,peer,card,,,hinglish
woh 6783 jo flatmate ne manga tha paid by bhim,6783,friends,upi,bhim,,voice
Money sent to Sneha for 7582.85 via Fi.,7582.85,friends,upi,fi,fi,ocr_upi
wifi bill pe 2045 spend kiya using PayTM,2045,utilities,upi,gpay,fi,hinglish
   mall shopping 28247.70 upi cash   ,28247.70,purchase,cash,,,voice
"Neha ke liye book mangaayi, 2235 advance diya",2235,friends,unknown,,,hinglish
i sent Priya 6277 using gpay,6277,friends,upi,gpay,,voice
index fund mein 4111.82 ka order phonepe se,4111.82,investment,upi,phonepe,,voice
i just put 27983.16 in FD from Federal Bank,27983.16,invest,unknown,,federal bank,voice
3388 ka maintenance payment done via BHIM,3388,utilities,upi,bhim,,hinglish
JioCinema mein 2682 ka payment paytm se,2682,entertainment,upi,paytm,,ocr_receipt
aaj Steam me 576 kharch kare Slice se,576,entertainment,upi,slice,slice,voice
KFC 1276.28 ka bill clear via cash,1276.28,--,cash,,,english
"Bhook lag rahi thi, Box8 se 522 ka order GPay se kiya",522,meal,upi,gpay,,hinglish
JioCinema annual plan 694 from IndusInd account,694,entertainment,unknown,,indusind,english
Paid 1257.82 for wifi bill using cash,1257.82,utilities,upi,fi,fi,ocr_upi
"  brother se liya 1668 for cab share, Jupiter se  ",1668,Friends,upi,jupiter,Jupiter,hinglish
Monthly maintenance 2801 paid by Google Pay,2801,utilities,upi,gpay,,english
tuition subscription 27019 Jupiter,27019,--,upi,,jupiter,ocr_receipt
null,2434,utilities,upi,niyo,niyo,hinglish
Haldirams pe 836 ka online order gpay se kiya,836,food,upi,gpay,,voice
Lenskart order for 11798 using GPay,11798,shopping,upi,gpay,,ocr_upi
"Sneha ke liye book mangaayi, 637.91 advance diya",637.91,friends,unknown,,,hinglish
13343.01 Indian Oil driver ko cash diya,13343.01,travel,cash,,,hinglish
7849.21 Rahul ko diya for movie tickets via Niyo,7849.21,p2p,upi,niyo,niyo,hinglish
16275 Apollo Pharmacy ko transfer kiya cash se,16275,healthcare,cash,,,hinglish
canteen order for 709.32 using Phone Pe,--,food,upi,--,,english
Neha borrowed 5769 gave cash back,5769,friends,cash,,,voice
33326 sent to school fees for coaching using cash.,33326,education,cash,,,ocr_upi
home loan EMI ka bill 6952 paid with cash,6952,installment,cash,,,ocr_receipt
education loan EMI ka installment 26625 debit card pe de diya,26625,emi,CARD,,,hinglish
"Ajio ka order 17737 mein, paid by cash",17737,Shopping,cash,,,hinglish
Flipkart order 21259 paid by card,21259,shopping,card,,,english
1104 INOX ki membership renew kardi Paytm pe se,1104,shopping,upi,paytm,,hinglish
"  Lunch at Swiggy for 650, paid by niyo   ",650,food,upi,niyo,niyo,hinglish
"Uber me 717 pay kiya, mode BHIM.",717,travel,upi,bhim,,english
dentist ka 6475 ka bill Union Bank ke card se pay,6475,healthcar,card,,Union Bank,hinglish
UPI payment to fees for 51818 using Google Pay.,51818,education,upi,--,,ocr_upi
Arjun ki shaadi ka gift 5680 GPay se bheja,5680,friends,UPI,gpay,,hinglish
Shopped at Croma for 27229.95,27229.95,Shopping,unknown,,,english
crypto mein 45719 ka order jupiter se,45719,invstment,upi,jupiter,Jupiter,voice
sovereign gold bond monthly contribution of 6523.73 by cash.,6523.73,investment,Cash,,,english
"flatmate owes me 7769 for lunch, paid via BHIM",7769,p2p,upi,bhim,,english
physio ke paise 3501 Paytm se deduct hue,"3,501.00",healthcare,upi,paytm,,hinglish
   aaj stocks ka 4356.40 debit hua jupiter se  ,4356.40,investment,upi,jupiter,Jupiter,voice
aaj exam fee ke liye 30726 spend kiya Visa se,30726,eduation,card,,,voice
"Croma order paid, 19791 deducted via paytm",19791,shopping,upi,NA,,hinglish
Deducted 860.85 for petrol pump booking.,860.85,travel,unknown,,,english
Paid 363 to broadband from IDFC First using cash,363,utilities,upi,fi,idfc,ocr_receipt
1525.31 BookMyShow ki membership renew kardi cash pe se,1525.31,entertainment,cash,,,hinglish
   PharmEasy ka bill 7078 credit card pe clear kiya   ,7078,healthcare,upi,NA,,hinglish
   Chipped in 8915 for Ananya's gift via BHIM  ,8915,peer,upi,NA,,english
"Bhai, electricity bill ka bill clear kar diya 1155 ka, Yes Bank ke card se",1155,utilities,card,,yes bank,hinglish
stationery course 46271.15 by cash,46271.15,education,cash,,,english
recurring deposit investment of 666 done via Niyo,666,savings,upi,NA,niyo,voice
broadband for 3481 using paytm from Punjab National Bank,3481,utilities,upi,gpay,pnb,english
metro se 10395 ka bill clear kiya cash ke through,10395,travell,cash,,,hinglish
Cash 22888 for diagnostic center,22888,healthcare,cash,,,ocr_receipt
Monthly personal loan EMI of 12538 paid via debit card,12538,emi,card,,,hinglish
37441.57 for this month's personal loan EMI on Visa,37441.57,emi,card,,,ocr_receipt
Booked fees course for 49539.98 with CRED,49539.98,education,upi,cred,,english
home loan EMI ka 36802 Visa se diya,36802,emi,card,,,hinglish
"Rahul ka birthday gift, contributed 9575 through Paytm",9575,p2p,upi,NA,,english
credit card EMI 5106 deducted via Mastercard,5106,emi,upi,cred,,ocr_receipt
car loan EMI ka installment 7617 card pe de diya,7617,emi,card,,,hinglish
bike loan EMI installment 13812 paid from Union Bank,13812,emi,unknown,,Union Bank,ocr_upi
Fi Money se water bill ko 86 transfer kiya,86,utilites,UPI,fi,fi,hinglish
i paid 2192.21 for Indian Oil using paytm,2192.21,travel,upi,gpay,,voice
None,714.63,education,unknown,,,hinglish
   Monthly EMI of 37734 paid via Visa  ,37734,emi,card,,,hinglish
42679 coaching ka payment kar diya credit card pe,42679,tution,upi,cred,,hinglish
Allen coaching ka payment 57521.72 cash se kar diya,57521.72,education,cash,,,voice
IndiGo 1625.92 paid by Fi from HDFC,1625.92,commute,upi,fi,HDFC Bank,ocr_receipt
Ola ki cab ke 8243.59 GPay se transfer kar diye,8243.59,travel,upi,gpay,,hinglish
"2281 udd gaya restaurant pe khane mein, cash diya",2281,food,cash,,,hinglish
"798 gaye Lenskart pe, Jupiter se settle kiya",798,retail,upi,jupiter,jupiter,hinglish
   56626 sent to coaching for coaching using Jupiter.   ,56626,tution,upi,jupiter,Jupiter,ocr_upi
2972.32 Yatra driver ko cash diya,2972.32,null,Cash,,,hinglish
  Udemy subscription renewed 13674.67 via cash ,13674.67,tution,cash,,,english
GPay ke through Zara ko 4922 diya,4922,shopping,upi,gpay,,hinglish
4780 for medicines at physio cash payment.,4780,emi,cash,,,english
Netmeds pe 18546 ka payment Canara card se,18546,healthcare,card,,canara,hinglish
42073 ki crypto ki purchase niyo se,42073,investment,upi,,niyo,hinglish
1015 spent at Blinkit with cash,1015,grocery,cash,,,ocr_upi
Netmeds pe 20668 ka payment PNB card se,20668,healthcare,card,,pnb,hinglish
fees coaching class 49822 from SBI account,49822,education,unknown,,sbi,english
Rapido ki cab ke 1285 gpay se transfer kar diye,1285,travell,upi,gpay,,hinglish
Priya ki shaadi ka gift 2982 cash se bheja,2982,friends,cash,,,hinglish
"Priya paid me back 5582 for the concert, got it in Union Bank via cash",5582,friends,cash,,union bank,english
18160 paid towards installment through cash,18160,loan,cash,,,ocr_upi
Credited 370 to broadband via Niyo,370,utilities,upi,cred,niyo,ocr_upi
  INOX bill paid 2164 Fi  ,2164,entertainment,upi,--,fi,ocr_upi
,4483.84,mutual fund,upi,niyo,niyo,ocr_upi
Paid 23501 for a electronics store delivery,23501,shopping,UNKNOWN,,,english
exam fee pe 18321 ka payment Phone Pe kiya,18321,education,upi,phonepe,,hinglish
PPF ke liye 48280 ka kharcha Jupiter se,48280,investment,upi,jupiter,jupiter,voice
IndiGo par 8143.51 spend via jupiter from BOB,8143.51,fuel,Upi,--,Jupiter,ocr_upi
Cleartrip ke ticket ke liye 3182 pay kiya debit card pe,3182,travel,card,,,hinglish
debit card use karke installment ka 23553 dedo,23553,emi,card,,,hinglish
Lab test 15717 via card,15717,healthcare,card,,,ocr_receipt
"Coffee on me, brother ko 4999.77 pay kiya",4999.77,friends,unknown,,,hinglish
aaj stocks ka 12363 debit hua Mastercard se,12363,investment,card,,,voice
"Lenskart ka order 26340.50 mein, paid by debit card",26340.50,shopping,card,,,hinglish
aaj Steam me 2520 kharch kare Mastercard se,2520,entrtainment,card,,,voice
"  DTH recharge ke liye cash diya 2848.42 ki, baad me debit card se adjust karunga  ",2848.42,utilities,card,,,hinglish
index fund auto debit of 17504.47 successful on debit card,17504.47,utilities,card,,,ocr_upi
   i bought from Ajio for 29555 with PayTM  ,29555,shopping,upi,paytm,,voice
metro ride fare 240 GPay,240,travel,upi,gpay,,ocr_receipt
   course pe 52749 ka payment phonepe kiya  ,52749,education,upi,phonepe,,hinglish
canteen food delivery 1305 on paytm,1305,meal,upi,paytm,,english
719.09 udhar diya Zomato mein khane ka bill cash se,719.09,food,cash,,,voice
Paid 44395.03 for online course on school fees via Mastercard.,nan,education,card,,,ocr_upi
BookMyShow membership renewal 1234.33 via PayTM,1234.33,entertainment,upi,NA,,english
Paid 41790 to Coursera from Fi,41790,education,upi,None,Fi Money,english
Ordered biryani from McDonald's 1248 paid by cash,1248,meal,cash,,,english
Uber ki booking karne pe 7789.26 lag gaye debit card se,7789.26,travel,card,,,hinglish
fees 16980 coaching ko diya cash,16980,education,cash,,,voice
"   414 repaid to brother for the book, used PayTM   ",414,friends,UPI,paytm,,english
Movie at Steam 771 with cash,771,movies,cash,,,english
upGrad course ki fees 14467.98 transfer ki Slice se,14467.98,Education,upi,slice,slice,hinglish
None,44227,invest,Upi,cred,,english
  Apple Music ke liye 1272 ka payment paytm se kiya   ,1272,entertainment,upi,paytm,,hinglish
recurring deposit ki installment 41245 Union Bank card se pay ki,41245,investment,card,,union bank,hinglish
Nykaa ko 16495 transfer kiye Kotak Mahindra card se,16495,shoping,card,,Kotak Mahindra,hinglish
Education fee 38558 paid to books using gpay from Indusind Bank.,38558,tution,upi,gpay,indusind,ocr_upi
"2341 Airtel recharge ke liye de diye yaar, cash se",2341,utility,cash,,,hinglish
sovereign gold bond auto debit of 20717.80 successful on Niyo,20717.80,investment,upi,niyo,niyo,ocr_upi
57245 for Allen coaching books on cash,57245,education,cash,,,english
"Online order on Croma for 25160.24, paid by cash",25160.24,purchase,cash,,,english
18467.48 transferred for EMI using Visa,18467.48,emi,card,,,ocr_upi
JioCinema movie 1414.03 mein book kardi State Bank account se,1414.03,entertainment,unknown,,sbi,hinglish
DTH recharge recharge ho gaya 4510.51 ka from Paytm,4510.51,utilities,upi,null,,hinglish
28396.99 Meesho ko diya cash se,28396.99,shopping,cash,,,voice
PPF ke liye 37116 invest kiya bhai,37116,savings,unknown,,,hinglish
sister for movie tickets 2245 PayTM,2245,p2p,upi,paytm,,ocr_receipt
personal loan EMI ka installment 3165 Visa pe de diya,3165,emi,card,,,hinglish
checkup 22771.20 UPI Phone Pe.,null,hospital,upi,phonepe,,english
bhai home loan EMI ka installment 33639 pay kiya Kotak se,33639,emi,unknown,,kotak,voice
Paid 14247 to Goibibo via Jupiter,NA,Transport,upi,jupiter,Jupiter,ocr_upi
Phone Pe - 696.91 paid to BookMyShow,696.91,Entertainment,upi,phonepe,,ocr_upi
"3294.09 Air India ko diya for booking, paid via Slice",3294.09,travel,upi,slice,slice,hinglish
"personal loan EMI due cleared, 35877 from debit card",35877,emi,card,,,english
bhai bike loan EMI ka installment 1954.89 pay kiya Union Bank se,1954.89,emi,unknown,,union bank,voice
just paid 18549.20 towards education loan EMI using credit card,18549.20,emi,upi,cred,,voice
Monthly index fund auto-debit of 40579 via slice.,40579,investment,upi,slice,slice,english
2383 transferred to mobile recharge from Federal Bank via BHIM,2383,utilities,upi,bhim,Federal Bank,ocr_upi
15797 for credit card EMI paid from,15797,EMI,upi,cred,,hinglish
11127.56 PPF mein daal diye cash pe,11127.56,investment,cash,,,hinglish
Quick Flipkart purchase for 6235,6235,education,unknown,,,english
None,1893,healthcare,upi,gpay,,ocr_upi
Steam ke liye 1547.90 ka payment Fi se kiya,1547.90,entertainment,upi,NA,fi,hinglish
Paid 31097 towards mutual fund SIP with PhonePe,31097,investment,upi,NA,,ocr_receipt
Visa used for stationery 29190,29190,Education,card,,,english
Karan ko diye 1287 CRED ke through.,1287,p2p,upi,null,,ocr_upi
"Sneha ke liye book mangaayi, 4433.18 advance diya",4433.18,friends,unknown,,,hinglish
